VIA,N_SINIESTROS
"PAZ, GRAL. AV.",71
RIVADAVIA AV.,27
DEL LIBERTADOR AV.,24
"ALBERDI, JUAN BAUTISTA AV.",18
AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,16
"PERON, EVA AV.",14
INDEPENDENCIA AV.,14
"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",13
AUTOPISTA 25 DE MAYO,12
AUTOPISTA PERITO MORENO,12
CORDOBA AV.,12
SAN MARTIN AV.,11
CORRIENTES AV.,11
LA PLATA AV.,11
ESCALADA AV.,10
AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,10
9 DE JULIO AV.,10
DIRECTORIO AV.,10
"JUSTO, JUAN B. AV.",10
27 DE FEBRERO AV.,10
"ALCORTA, AMANCIO AV.",9
"MORENO, PERITO AV.",9
"RABANAL, FRANCISCO, INTENDENTE AV.",9
SAN JUAN AV.,9
SANTA FE AV.,8
GAONA AV.,8
CABILDO AV.,8
"FIGUEROA ALCORTA, PRES. AV.",8
"ROCA, CNEL. AV.",8
"LUGONES, LEOPOLDO AV.",7
"SALGUERO, JERONIMO",7
"ALEM, LEANDRO N. AV.",7
CALLAO AV.,7
LIMA,7
PUEYRREDON AV.,7
"FALCON, RAMON L.,CNEL.",7
CASEROS AV.,7
ENTRE RIOS AV.,7
NAZCA AV.,7
MEXICO,6
BARCO CENTENERA DEL,6
"BALBIN, RICARDO, DR. AV.",6
BRASIL,6
VARELA AV.,6
DE LOS CONSTITUYENTES AV.,6
PARAGUAY,6
ALVAREZ THOMAS AV.,6
"DELLEPIANE, LUIS, TTE. GRAL.",5
OLIVERA AV.,5
"UDAONDO, GUILLERMO AV.",5
"PERON, JUAN DOMINGO, TTE. GENERAL",5
CASTA?ARES AV.,5
MURGUIONDO,5
MOSCONI GENERAL AV.,5
SAN PEDRITO AV.,5
PASEO COLON AV.,5
"GARAY, JUAN DE AV.",5
BELGRANO AV.,5
24 DE NOVIEMBRE,5
RIVERA INDARTE AV.,5
CASTRO,4
"LACROZE, FEDERICO AV.",4
JUJUY AV.,4
TRIUNVIRATO AV.,4
DORREGO AV.,4
LAFUENTE AV.,4
LA PAMPA,4
TUCUMAN,4
"MADERO, EDUARDO AV.",4
"MITRE, BARTOLOME",4
