ID,AÑO,MES_NOM,MES,DIA_SEMANA_NOM,DIA_SEMANA,ROL,VICTIMA,SEXO,EDAD
2016-0001,2016,ENERO,1,VIERNES,4,CONDUCTOR,MOTO,MASCULINO,19
2016-0002,2016,ENERO,1,SÁBADO,5,CONDUCTOR,AUTO,MASCULINO,70
2016-0003,2016,ENERO,1,DOMINGO,6,CONDUCTOR,MOTO,MASCULINO,30
2016-0004,2016,ENERO,1,DOMINGO,6,CONDUCTOR,MOTO,MASCULINO,18
2016-0005,2016,ENERO,1,JUEVES,3,CONDUCTOR,MOTO,MASCULINO,29
2016-0008,2016,ENERO,1,DOMINGO,6,CONDUCTOR,MOTO,MASCULINO,30
2016-0009,2016,ENERO,1,DOMINGO,6,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,29
2016-0010,2016,ENERO,1,VIERNES,4,CONDUCTOR,MOTO,MASCULINO,18
2016-0012,2016,FEBRERO,2,LUNES,0,CONDUCTOR,MOTO,MASCULINO,22
2016-0013,2016,FEBRERO,2,MIÉRCOLES,2,PEATON,PEATON,MASCULINO,16
2016-0015,2016,FEBRERO,2,DOMINGO,6,PEATON,PEATON,FEMENINO,16
2016-0016,2016,FEBRERO,2,DOMINGO,6,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,19
2016-0017,2016,FEBRERO,2,LUNES,0,PEATON,PEATON,MASCULINO,59
2016-0019,2016,FEBRERO,2,MIÉRCOLES,2,PEATON,PEATON,FEMENINO,65
2016-0020,2016,FEBRERO,2,MIÉRCOLES,2,PEATON,PEATON,MASCULINO,59
2016-0021,2016,FEBRERO,2,MIÉRCOLES,2,CONDUCTOR,AUTO,MASCULINO,34
2016-0022,2016,FEBRERO,2,DOMINGO,6,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,41
2016-0025,2016,FEBRERO,2,DOMINGO,6,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,34
2016-0026,2016,FEBRERO,2,DOMINGO,6,CONDUCTOR,AUTO,MASCULINO,30
2016-0027,2016,FEBRERO,2,DOMINGO,6,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,34
2016-0028,2016,MARZO,3,MIÉRCOLES,2,PEATON,PEATON,MASCULINO,50
2016-0029,2016,MARZO,3,VIERNES,4,PEATON,PEATON,MASCULINO,38
2016-0031,2016,MARZO,3,MARTES,1,CONDUCTOR,MOTO,MASCULINO,21
2016-0034,2016,MARZO,3,SÁBADO,5,PEATON,PEATON,MASCULINO,52
2016-0035,2016,MARZO,3,DOMINGO,6,CONDUCTOR,MOTO,MASCULINO,34
2016-0036,2016,MARZO,3,LUNES,0,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,36
2016-0037,2016,MARZO,3,SÁBADO,5,CONDUCTOR,MOTO,MASCULINO,20
2016-0038,2016,MARZO,3,LUNES,0,PEATON,PEATON,MASCULINO,29
2016-0039,2016,MARZO,3,MIÉRCOLES,2,CONDUCTOR,MOTO,MASCULINO,20
2016-0041,2016,MARZO,3,MARTES,1,CONDUCTOR,MOTO,MASCULINO,54
2016-0041,2016,MARZO,3,MARTES,1,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,30
2016-0043,2016,MARZO,3,MIÉRCOLES,2,PEATON,PEATON,FEMENINO,56
2016-0044,2016,MARZO,3,JUEVES,3,CONDUCTOR,MOTO,MASCULINO,24
2016-0045,2016,ABRIL,4,LUNES,0,CONDUCTOR,MOTO,MASCULINO,30
2016-0047,2016,ABRIL,4,VIERNES,4,PEATON,PEATON,MASCULINO,41
2016-0048,2016,ABRIL,4,VIERNES,4,PEATON,PEATON,FEMENINO,30
2016-0050,2016,ABRIL,4,MARTES,1,PEATON,PEATON,MASCULINO,78
2016-0051,2016,ABRIL,4,MIÉRCOLES,2,CONDUCTOR,MOTO,MASCULINO,36
2016-0052,2016,ABRIL,4,MIÉRCOLES,2,SD,MOTO,SD,30
2016-0053,2016,ABRIL,4,VIERNES,4,PEATON,PEATON,MASCULINO,38
