ID,N_VICTIMAS,AÑO,MES,DIA_SEMANA,DIA_SEMANA_NOM,HORA,TIPO_DE_CALLE,VIAS_INVOL,INTERSECCION,COMUNA,PARTICIPANTES,VICTIMA,ACUSADO,LONGITUD,LATITUD
2016-0001,1,2016,1,4,VIERNES,4.0,AVENIDA,"['PIEDRA BUENA AV.', 'FERNANDEZ DE LA CRUZ, F., GRAL. AV.']",1,8,MOTO-AUTO,MOTO,AUTO,-58.47533969,-34.68757022
2016-0002,1,2016,1,5,SÁBADO,1.25,GRAL PAZ,"['PAZ, GRAL. AV.', 'DE LOS CORRALES AV.']",1,9,AUTO-PASAJEROS,AUTO,PASAJEROS,-58.50877521,-34.66977709
2016-0003,1,2016,1,6,DOMINGO,7.0,AVENIDA,['ENTRE RIOS AV.'],0,1,MOTO-AUTO,MOTO,AUTO,-58.39040293,-34.63189362
2016-0004,1,2016,1,6,DOMINGO,0.0,AVENIDA,"['LARRAZABAL AV.', 'VILLEGAS, CONRADO, GRAL.']",1,8,MOTO-SD,MOTO,SD,-58.46503904,-34.68092974
2016-0005,1,2016,1,3,JUEVES,5.333333333333333,AVENIDA,"['SAN JUAN AV.', 'SAENZ PE?A, LUIS, PRES.']",1,1,MOTO-PASAJEROS,MOTO,PASAJEROS,-58.38718297,-34.6224663
2016-0008,1,2016,1,6,DOMINGO,18.5,AVENIDA,"['27 DE FEBRERO AV.', 'ESCALADA AV.']",1,8,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,-58.44451316,-34.68475866
2016-0009,1,2016,1,6,DOMINGO,19.166666666666668,CALLE,"['NOGOYA', 'GONZALEZ, JOAQUIN V.']",1,11,MOTO-AUTO,MOTO,AUTO,-58.50095869,-34.6082544
2016-0010,1,2016,1,4,VIERNES,15.333333333333334,GRAL PAZ,"['PAZ, GRAL. AV.', 'DE LOS CORRALES AV.']",1,9,MOTO-AUTO,MOTO,AUTO,-58.50877521,-34.66977709
2016-0012,1,2016,2,0,LUNES,1.3333333333333333,AVENIDA,"['BELGRANO AV.', 'IRIGOYEN, BERNARDO DE']",1,1,MOTO-CARGAS,MOTO,CARGAS,-58.38048577,-34.61303893
2016-0013,1,2016,2,2,MIÉRCOLES,11.5,AVENIDA,['ENTRE RIOS AV.'],0,1,PEATON-AUTO,PEATON,AUTO,-58.39114932,-34.62477387
